Brand,Price,Color,Features,Condition,GPU,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Ram Size
7,93.25,19,1,1,4,5,4,69.0,69.0,69.0
10,81.6,19,1,1,4,5,4,69.0,69.0,69.0
10,41.5,19,1,1,4,5,4,69.0,69.0,69.0
10,296.8,19,1,1,4,5,4,69.0,69.0,69.0
10,84.2,19,1,1,4,5,4,69.0,69.0,69.0
1,75.0,2,4,8,0,0,2,200.0,69.0,4.0
10,166.2,19,1,1,4,5,4,69.0,69.0,69.0
2,456.8,19,4,7,0,0,0,69.0,120.0,69.0
10,959.0,19,1,7,0,5,4,69.0,69.0,69.0
10,27.12,19,1,8,4,5,4,69.0,69.0,69.0
1,314.5,19,7,8,0,0,4,69.0,240.0,69.0
1,400.2,19,1,8,4,0,4,69.0,69.0,8.0
1,214.8,0,2,8,0,0,4,69.0,240.0,8.0
2,708.0,19,6,7,0,0,0,69.0,480.0,69.0
10,326.2,0,1,7,1,5,4,69.0,69.0,69.0
10,329.8,19,7,8,0,0,0,69.0,256.0,69.0
10,110.0,19,1,1,4,5,4,69.0,69.0,69.0
10,304.5,19,1,8,0,5,4,69.0,69.0,69.0
10,162.8,19,1,1,4,5,4,69.0,69.0,69.0
4,67.06,19,1,1,4,5,4,69.0,69.0,69.0
10,382.0,0,1,7,0,5,4,69.0,69.0,69.0
10,85.7,19,1,10,4,5,4,69.0,69.0,69.0
10,651.5,19,1,7,0,5,4,69.0,69.0,69.0
10,104.94,19,1,1,4,5,4,69.0,69.0,69.0
10,1703.0,19,1,8,0,5,4,69.0,69.0,69.0
10,127.75,0,1,10,4,5,4,69.0,69.0,69.0
10,1291.0,19,1,7,0,5,4,69.0,69.0,69.0
10,731.5,19,1,7,0,5,4,69.0,69.0,69.0
10,827.0,19,1,8,0,5,4,69.0,69.0,69.0
10,310.8,19,1,8,0,5,4,69.0,69.0,69.0
10,335.8,19,1,8,0,5,4,69.0,69.0,69.0
10,203.0,19,1,8,4,5,4,69.0,69.0,69.0
